cohort,skill_id,skill_name,skill_md_path,trigger_hits,constraint_hits,error_hits,io_hits,sequence_hits,example_hits,heading_count,ordered_list_count,bullet_list_count,code_fence_count,placeholder_count,spec_form_auto,trigger_score,constraint_score,step_score,error_score,io_score,example_score,structuredness_score
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-frontend-patterns-skill-md,frontend-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-frontend-patterns-skill-md/content/SKILL.md,0,0,3,35,7,0,23,0,0,15,28,mixed,0,0,15,15,15,15,60
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-patterns-skill-md,golang-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-golang-patterns-skill-md/content/SKILL.md,0,1,0,47,2,0,42,0,15,26,0,mixed,0,10,8,0,15,15,48
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-testing-skill-md,golang-testing,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-golang-testing-skill-md/content/SKILL.md,0,2,0,27,8,1,48,0,21,20,1,mixed,0,20,15,0,15,15,65
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-iterative-retrieval-skill-md,iterative-retrieval,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-iterative-retrieval-skill-md/content/SKILL.md,0,1,0,4,1,0,13,10,13,8,0,mixed,0,10,15,0,15,15,55
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-java-coding-standards-skill-md,java-coding-standards,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-java-coding-standards-skill-md/content/SKILL.md,0,1,0,2,0,1,14,0,23,8,0,mixed,0,10,0,0,15,15,40
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-jpa-patterns-skill-md,jpa-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-jpa-patterns-skill-md/content/SKILL.md,0,0,0,1,0,0,11,0,16,10,0,mixed,0,0,0,0,8,15,23
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-postgres-patterns-skill-md,postgres-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-postgres-patterns-skill-md/content/SKILL.md,0,3,0,1,2,0,9,0,8,9,0,mixed,0,20,8,0,8,15,51
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-python-patterns-skill-md,python-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-python-patterns-skill-md/content/SKILL.md,0,1,1,48,3,1,109,0,4,34,13,mixed,0,10,15,8,15,15,63
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-python-testing-skill-md,python-testing,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-python-testing-skill-md/content/SKILL.md,0,0,1,25,6,4,98,3,23,41,1,mixed,0,0,15,8,15,15,53
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-security-review-skill-md,security-review,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-security-review-skill-md/content/SKILL.md,1,3,0,17,3,1,54,0,71,22,4,mixed,10,20,15,0,15,15,75
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-patterns-skill-md,springboot-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-patterns-skill-md/content/SKILL.md,0,2,1,14,1,0,16,4,22,12,0,mixed,0,20,15,8,15,15,73
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-security-skill-md,springboot-security,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-security-skill-md/content/SKILL.md,0,0,0,0,0,0,13,0,35,3,0,structured_template,0,0,0,0,0,15,15
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-tdd-skill-md,springboot-tdd,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-tdd-skill-md/content/SKILL.md,0,0,0,2,0,0,12,4,13,6,0,mixed,0,0,15,0,15,15,45
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-verification-skill-md,springboot-verification,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-springboot-verification-skill-md/content/SKILL.md,0,0,0,0,0,0,14,2,8,8,0,mixed,0,0,15,0,0,15,30
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-strategic-compact-skill-md,strategic-compact,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-strategic-compact-skill-md/content/SKILL.md,0,0,0,0,0,0,7,7,9,1,0,structured_template,0,0,15,0,0,8,23
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-tdd-workflow-skill-md,tdd-workflow,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-tdd-workflow-skill-md/content/SKILL.md,0,2,1,6,4,1,48,10,33,24,1,mixed,0,20,15,8,15,15,73
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-backend-patterns-skill-md,backend-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-backend-patterns-skill-md/content/SKILL.md,0,9,1,35,2,0,25,0,0,16,4,mixed,0,20,8,8,15,15,66
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-clickhouse-io-skill-md,clickhouse-io,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-clickhouse-io-skill-md/content/SKILL.md,0,2,0,0,4,0,31,0,22,16,6,mixed,0,20,15,0,15,15,65
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-coding-standards-skill-md,coding-standards,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-coding-standards-skill-md/content/SKILL.md,0,6,1,20,1,1,40,0,26,26,13,mixed,0,20,8,8,15,15,66
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md,continuous-learning,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md/content/SKILL.md,0,0,0,0,0,0,10,8,5,2,0,structured_template,0,0,15,0,0,15,30
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md,continuous-learning-v2,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md/content/SKILL.md,0,0,0,0,3,0,21,0,27,7,0,mixed,0,0,15,0,0,15,30
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-eval-harness-skill-md,eval-harness,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-eval-harness-skill-md/content/SKILL.md,0,0,0,1,0,0,39,17,26,13,0,mixed,0,0,15,0,8,15,38
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-frontend-patterns-skill-md,frontend-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-frontend-patterns-skill-md/content/SKILL.md,0,0,3,35,7,0,23,0,0,15,28,mixed,0,0,15,15,15,15,60
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-golang-patterns-skill-md,golang-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-golang-patterns-skill-md/content/SKILL.md,0,0,0,43,0,0,42,0,15,26,0,mixed,0,0,0,0,15,15,30
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-golang-testing-skill-md,golang-testing,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-golang-testing-skill-md/content/SKILL.md,0,0,0,24,0,0,47,0,21,19,1,mixed,0,0,0,0,15,15,30
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-iterative-retrieval-skill-md,iterative-retrieval,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-iterative-retrieval-skill-md/content/SKILL.md,0,1,0,4,0,0,13,10,13,8,0,mixed,0,10,15,0,15,15,55
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-postgres-patterns-skill-md,postgres-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-postgres-patterns-skill-md/content/SKILL.md,0,2,0,3,0,0,9,0,8,9,0,mixed,0,20,0,0,15,15,50
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-security-review-skill-md,security-review,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-security-review-skill-md/content/SKILL.md,1,3,0,17,2,1,54,0,71,22,4,mixed,10,20,8,0,15,15,68
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-strategic-compact-skill-md,strategic-compact,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-strategic-compact-skill-md/content/SKILL.md,0,0,0,0,0,0,7,7,9,1,0,structured_template,0,0,15,0,0,8,23
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-tdd-workflow-skill-md,tdd-workflow,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-tdd-workflow-skill-md/content/SKILL.md,1,1,0,6,3,0,48,10,33,24,1,mixed,10,10,15,0,15,15,65
popular,affaan-m-everything-claude-code-skills-backend-patterns-skill-md,backend-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-backend-patterns-skill-md/content/SKILL.md,0,10,2,36,3,0,26,0,7,16,4,mixed,0,20,15,15,15,15,80
popular,affaan-m-everything-claude-code-skills-clickhouse-io-skill-md,clickhouse-io,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-clickhouse-io-skill-md/content/SKILL.md,0,5,0,0,8,0,32,0,28,16,6,mixed,0,20,15,0,15,15,65
popular,affaan-m-everything-claude-code-skills-coding-standards-skill-md,coding-standards,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-coding-standards-skill-md/content/SKILL.md,0,13,2,24,2,1,41,0,32,26,13,mixed,0,20,8,15,15,15,73
popular,affaan-m-everything-claude-code-skills-configure-ecc-skill-md,configure-ecc,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-configure-ecc-skill-md/content/SKILL.md,1,2,2,2,21,1,31,14,51,12,22,mixed,10,20,15,15,15,15,90
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-skill-md/content/SKILL.md,0,0,0,0,0,0,11,8,10,2,0,structured_template,0,0,15,0,0,15,30
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md/content/SKILL.md,0,0,0,0,3,0,21,0,32,8,2,mixed,0,0,15,0,15,15,45
popular,affaan-m-everything-claude-code-skills-django-patterns-skill-md,django-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-django-patterns-skill-md/content/SKILL.md,0,1,0,37,1,0,52,0,5,18,6,mixed,0,10,8,0,15,15,48
popular,affaan-m-everything-claude-code-skills-django-security-skill-md,django-security,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-django-security-skill-md/content/SKILL.md,1,9,0,30,2,6,82,0,5,21,6,mixed,10,20,8,0,15,15,68
popular,affaan-m-everything-claude-code-skills-django-tdd-skill-md,django-tdd,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-django-tdd-skill-md/content/SKILL.md,0,9,0,14,10,13,59,0,19,14,2,mixed,0,20,15,0,15,15,65
popular,affaan-m-everything-claude-code-skills-django-verification-skill-md,django-verification,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-django-verification-skill-md/content/SKILL.md,0,1,0,10,1,2,68,3,53,14,2,mixed,0,10,15,0,15,15,55
popular,affaan-m-everything-claude-code-skills-eval-harness-skill-md,eval-harness,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-eval-harness-skill-md/content/SKILL.md,0,3,0,4,3,1,40,17,31,13,0,mixed,0,20,15,0,15,15,65
popular,affaan-m-everything-claude-code-skills-frontend-patterns-skill-md,frontend-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-frontend-patterns-skill-md/content/SKILL.md,0,0,3,36,7,0,24,0,7,15,28,mixed,0,0,15,15,15,15,60
popular,affaan-m-everything-claude-code-skills-golang-patterns-skill-md,golang-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-golang-patterns-skill-md/content/SKILL.md,0,7,0,54,4,0,42,0,15,26,0,mixed,0,20,15,0,15,15,65
popular,affaan-m-everything-claude-code-skills-golang-testing-skill-md,golang-testing,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-golang-testing-skill-md/content/SKILL.md,0,3,0,30,13,1,48,0,21,20,1,mixed,0,20,15,0,15,15,65
popular,affaan-m-everything-claude-code-skills-iterative-retrieval-skill-md,iterative-retrieval,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-iterative-retrieval-skill-md/content/SKILL.md,0,5,0,5,2,3,14,10,18,8,0,mixed,0,20,15,0,15,15,65
popular,affaan-m-everything-claude-code-skills-java-coding-standards-skill-md,java-coding-standards,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-java-coding-standards-skill-md/content/SKILL.md,0,7,1,6,0,1,15,0,28,8,0,mixed,0,20,0,8,15,15,58
popular,affaan-m-everything-claude-code-skills-jpa-patterns-skill-md,jpa-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-jpa-patterns-skill-md/content/SKILL.md,0,6,0,2,0,0,12,0,22,10,0,mixed,0,20,0,0,15,15,50
popular,affaan-m-everything-claude-code-skills-nutrient-document-processing-skill-md,nutrient-document-processing,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-nutrient-document-processing-skill-md/content/SKILL.md,1,0,0,8,0,1,22,0,10,9,11,mixed,10,0,0,0,15,15,40
popular,affaan-m-everything-claude-code-skills-postgres-patterns-skill-md,postgres-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-postgres-patterns-skill-md/content/SKILL.md,0,4,1,2,3,1,9,0,8,9,0,mixed,0,20,15,8,15,15,73
popular,affaan-m-everything-claude-code-skills-python-patterns-skill-md,python-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-python-patterns-skill-md/content/SKILL.md,0,4,1,48,3,1,109,0,4,34,13,mixed,0,20,15,8,15,15,73
popular,affaan-m-everything-claude-code-skills-python-testing-skill-md,python-testing,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-python-testing-skill-md/content/SKILL.md,0,11,1,31,6,4,98,3,23,41,1,mixed,0,20,15,8,15,15,73
popular,affaan-m-everything-claude-code-skills-security-review-skill-md,security-review,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-security-review-skill-md/content/SKILL.md,1,7,0,24,3,1,54,0,71,22,4,mixed,10,20,15,0,15,15,75
popular,affaan-m-everything-claude-code-skills-springboot-patterns-skill-md,springboot-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-springboot-patterns-skill-md/content/SKILL.md,0,3,1,16,1,0,17,4,28,12,0,mixed,0,20,15,8,15,15,73
popular,affaan-m-everything-claude-code-skills-springboot-security-skill-md,springboot-security,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-springboot-security-skill-md/content/SKILL.md,1,6,1,14,1,2,19,0,46,10,3,mixed,10,20,8,8,15,15,76
popular,affaan-m-everything-claude-code-skills-springboot-tdd-skill-md,springboot-tdd,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-springboot-tdd-skill-md/content/SKILL.md,2,1,0,2,3,0,12,0,13,6,0,mixed,20,10,15,0,15,15,75
popular,affaan-m-everything-claude-code-skills-springboot-verification-skill-md,springboot-verification,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-springboot-verification-skill-md/content/SKILL.md,0,0,1,2,0,7,23,2,13,12,0,mixed,0,0,15,8,15,15,53
popular,affaan-m-everything-claude-code-skills-strategic-compact-skill-md,strategic-compact,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-strategic-compact-skill-md/content/SKILL.md,0,2,0,1,7,0,10,9,15,1,0,structured_template,0,20,15,0,8,8,51
popular,affaan-m-everything-claude-code-skills-tdd-workflow-skill-md,tdd-workflow,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-tdd-workflow-skill-md/content/SKILL.md,1,3,1,6,16,1,48,10,33,24,1,mixed,10,20,15,8,15,15,83
popular,agno-agi-agno-cookbook-05-agent-os-skills-sample-skills-system-info-skill-md,system-info,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/agno-agi-agno-cookbook-05-agent-os-skills-sample-skills-system-info-skill-md/content/SKILL.md,0,0,0,1,0,0,3,2,2,0,0,natural_language,0,0,15,0,8,0,23
popular,airbytehq-airbyte-claude-skills-my-prs-skill-md,my-prs,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/airbytehq-airbyte-claude-skills-my-prs-skill-md/content/SKILL.md,0,0,0,4,0,1,4,6,7,2,2,structured_template,0,0,15,0,15,15,45
popular,alpinejs-alpine-claude-skills-review-pr-skill-md,review-pr,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/alpinejs-alpine-claude-skills-review-pr-skill-md/content/SKILL.md,0,18,5,8,20,0,32,37,27,11,21,mixed,0,20,15,15,15,15,80
popular,alpinejs-alpine-claude-skills-summarize-activity-skill-md,summarize-activity,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/alpinejs-alpine-claude-skills-summarize-activity-skill-md/content/SKILL.md,0,9,3,7,12,2,27,0,21,9,10,mixed,0,20,15,15,15,15,80
popular,amruthpillai-reactive-resume-skills-resume-builder-skill-md,resume-builder,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/amruthpillai-reactive-resume-skills-resume-builder-skill-md/content/SKILL.md,1,7,0,19,7,2,13,15,28,1,0,structured_template,10,20,15,0,15,15,75
popular,angular-angular-gemini-skills-reference-compiler-cli-skill-md,reference-compiler-cli,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/angular-angular-gemini-skills-reference-compiler-cli-skill-md/content/SKILL.md,0,0,0,7,1,0,12,9,39,0,0,structured_template,0,0,15,0,15,0,30
popular,angular-angular-gemini-skills-reference-core-skill-md,reference-core,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/angular-angular-gemini-skills-reference-core-skill-md/content/SKILL.md,0,2,1,2,0,0,12,9,39,0,0,structured_template,0,20,15,8,15,0,58
popular,angular-angular-gemini-skills-reference-signal-forms-skill-md,reference-signal-forms,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/angular-angular-gemini-skills-reference-signal-forms-skill-md/content/SKILL.md,0,0,0,13,0,1,11,7,25,1,0,structured_template,0,0,15,0,15,8,38
popular,anthropics-claude-code-plugins-claude-opus-4-5-migration-skills-claude-opus-4-5-migration-skill-md,claude-opus-4-5-migration,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-claude-opus-4-5-migration-skills-claude-opus-4-5-migration-skill-md/content/SKILL.md,1,6,0,5,2,0,14,6,9,1,0,structured_template,10,20,15,0,15,8,68
popular,anthropics-claude-code-plugins-frontend-design-skills-frontend-design-skill-md,frontend-design,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-frontend-design-skills-frontend-design-skill-md/content/SKILL.md,1,5,0,0,1,2,2,0,13,0,0,structured_template,10,20,8,0,0,15,53
popular,anthropics-claude-code-plugins-hookify-skills-writing-rules-skill-md,rule-identifier,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-hookify-skills-writing-rules-skill-md/content/SKILL.md,0,1,0,4,3,6,23,9,96,15,4,mixed,0,10,15,0,15,15,55
popular,anthropics-claude-code-plugins-plugin-dev-skills-agent-development-skill-md,agent-identifier,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-agent-development-skill-md/content/SKILL.md,3,5,0,26,14,43,35,45,81,8,0,mixed,20,20,15,0,15,15,85
popular,anthropics-claude-code-plugins-plugin-dev-skills-command-development-skill-md,command-development,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-command-development-skill-md/content/SKILL.md,6,5,5,57,11,11,57,29,120,44,21,mixed,20,20,15,15,15,15,100
popular,anthropics-claude-code-plugins-plugin-dev-skills-hook-development-skill-md,hook-development,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-hook-development-skill-md/content/SKILL.md,0,2,0,44,7,19,64,18,75,32,27,mixed,0,20,15,0,15,15,65
popular,anthropics-claude-code-plugins-plugin-dev-skills-mcp-integration-skill-md,mcp-integration,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-mcp-integration-skill-md/content/SKILL.md,0,4,1,3,6,10,52,25,107,20,17,mixed,0,20,15,8,15,15,73
popular,anthropics-claude-code-plugins-plugin-dev-skills-plugin-settings-skill-md,configured-agent,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-plugin-settings-skill-md/content/SKILL.md,0,1,0,10,14,9,83,21,40,29,36,mixed,0,10,15,0,15,15,55
popular,anthropics-claude-code-plugins-plugin-dev-skills-plugin-structure-skill-md,command-name,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-plugin-structure-skill-md/content/SKILL.md,1,5,1,15,1,13,31,24,77,20,15,mixed,10,20,15,8,15,15,83
