cohort,skill_id,skill_dirname,skill_name,author,stars,updated_at,github_url,skill_url,file_count,dir_count,max_depth,total_bytes,local_content_path,has_skill_md,skill_md_relpath,skill_md_lines,skill_md_words,heading_count,code_fence_count,ordered_list_count,bullet_list_count,step_signal_count,example_signal_count,boundary_signal_count,placeholder_count,version_mention_count,license_mention_count,has_scripts,has_templates,has_docs,has_config,has_license_file,taxonomy_labels,security_positive_score,security_risk_score,has_security_risk_signal
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-model-architecture-rwkv-skill-md,davila7-claude-code-templates-cli-tool-components-skills-ai-research-model-architecture-rwkv-skill-md,rwkv-architecture,davila7,20041,1767882269,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/model-architecture-rwkv,https://skillsmp.com/skills/davila7-claude-code-templates-cli-tool-components-skills-ai-research-model-architecture-rwkv-skill-md,4,1,2,36328,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-model-architecture-rwkv-skill-md/content,True,SKILL.md,260,927,47,22,0,34,5,1,1,0,5,1,False,True,True,False,False,devops_infra;data_ml_ai;documentation_writing;research_analysis;workflow_automation,0,33,True
popular,openclaw-openclaw-skills-trello-skill-md,openclaw-openclaw-skills-trello-skill-md,trello,openclaw,182482,1769862085,https://github.com/openclaw/openclaw/tree/main/skills/trello,https://skillsmp.com/skills/openclaw-openclaw-skills-trello-skill-md,1,0,1,2687,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/openclaw-openclaw-skills-trello-skill-md/content,True,SKILL.md,95,392,15,18,3,3,0,1,0,28,0,0,False,False,False,False,False,coding_dev;devops_infra;security,0,31,True
popular,affaan-m-everything-claude-code-skills-springboot-security-skill-md,affaan-m-everything-claude-code-skills-springboot-security-skill-md,springboot-security,affaan-m,43586,1769741659,https://github.com/affaan-m/everything-claude-code/tree/main/skills/springboot-security,https://skillsmp.com/skills/affaan-m-everything-claude-code-skills-springboot-security-skill-md,1,0,1,8019,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-springboot-security-skill-md/content,True,SKILL.md,272,867,19,20,0,46,1,2,5,3,0,0,False,False,False,False,False,coding_dev;devops_infra;security;integration_tools,21,30,True
random,cyotee-compound-v3-comet-skill-opencode-skills-comet-bulker-skill-md,cyotee-compound-v3-comet-skill-opencode-skills-comet-bulker-skill-md,comet-bulker,cyotee,0,1769561217,https://github.com/cyotee/compound-V3-comet-skill/tree/main/.opencode/skills/comet-bulker,https://skillsmp.com/skills/cyotee-compound-v3-comet-skill-opencode-skills-comet-bulker-skill-md,1,0,1,12436,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/cyotee-compound-v3-comet-skill-opencode-skills-comet-bulker-skill-md/content,True,SKILL.md,346,1137,19,30,0,3,4,1,0,0,1,0,False,False,False,False,False,coding_dev;security,0,29,True
random,shreed27-dain-cloddsbot-main-src-skills-bundled-clanker-skill-md,shreed27-dain-cloddsbot-main-src-skills-bundled-clanker-skill-md,clanker,shreed27,0,1770413831,https://github.com/shreed27/DAIN/tree/main/CloddsBot-main/src/skills/bundled/clanker,https://skillsmp.com/skills/shreed27-dain-cloddsbot-main-src-skills-bundled-clanker-skill-md,2,0,1,33470,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/shreed27-dain-cloddsbot-main-src-skills-bundled-clanker-skill-md/content,True,SKILL.md,125,363,16,18,5,8,1,1,0,0,1,0,True,False,False,False,False,devops_infra,0,29,True
random,soborbo-claudeskills-design-tokens-skill-md,soborbo-claudeskills-design-tokens-skill-md,design-tokens,Soborbo,1,1768518469,https://github.com/Soborbo/claudeskills/tree/main/design-tokens,https://skillsmp.com/skills/soborbo-claudeskills-design-tokens-skill-md,4,1,2,18458,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/soborbo-claudeskills-design-tokens-skill-md/content,True,SKILL.md,178,529,19,6,0,13,0,0,0,0,3,0,False,False,True,False,False,product_design,0,27,True
popular,nikivdev-flow-ai-skills-env-skill-md,nikivdev-flow-ai-skills-env-skill-md,env,nikivdev,21165,1770312045,https://github.com/nikivdev/flow/tree/main/.ai/skills/env,https://skillsmp.com/skills/nikivdev-flow-ai-skills-env-skill-md,1,0,1,3876,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/nikivdev-flow-ai-skills-env-skill-md/content,True,skill.md,170,545,22,18,0,12,3,2,3,0,0,0,False,False,False,False,False,coding_dev;devops_infra;security;documentation_writing;workflow_automation,3,26,True
random,cameronapak-freedom-stack-v3-agents-skills-bknd-session-handling-skill-md,cameronapak-freedom-stack-v3-agents-skills-bknd-session-handling-skill-md,bknd-session-handling,cameronapak,24,1769006102,https://github.com/cameronapak/freedom-stack-v3/tree/main/.agents/skills/bknd-session-handling,https://skillsmp.com/skills/cameronapak-freedom-stack-v3-agents-skills-bknd-session-handling-skill-md,1,0,1,19128,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/cameronapak-freedom-stack-v3-agents-skills-bknd-session-handling-skill-md/content,True,SKILL.md,788,2116,37,50,5,33,4,1,3,2,0,0,False,False,False,False,False,coding_dev;security;workflow_automation;product_design,2,26,True
random,krovomi-ai-agent-kit-ai-agents-skills-loop-skill-md,krovomi-ai-agent-kit-ai-agents-skills-loop-skill-md,loop,krovomi,2,1769511316,https://github.com/krovomi/ai-agent-kit/tree/main/.ai-agents/skills/loop,https://skillsmp.com/skills/krovomi-ai-agent-kit-ai-agents-skills-loop-skill-md,1,0,1,8721,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/krovomi-ai-agent-kit-ai-agents-skills-loop-skill-md/content,True,SKILL.md,285,1026,38,20,14,52,0,0,0,0,21,0,False,False,False,False,False,coding_dev;security;workflow_automation,0,25,True
popular,wshobson-agents-plugins-python-development-skills-python-configuration-skill-md,wshobson-agents-plugins-python-development-skills-python-configuration-skill-md,python-configuration,wshobson,28328,1769791934,https://github.com/wshobson/agents/tree/main/plugins/python-development/skills/python-configuration,https://skillsmp.com/skills/wshobson-agents-plugins-python-development-skills-python-configuration-skill-md,1,0,1,9979,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-python-development-skills-python-configuration-skill-md/content,True,SKILL.md,368,1123,41,28,10,6,0,4,4,2,0,0,False,False,False,False,False,coding_dev;security,4,24,True
random,artymclabin-claudecode-global-config-skills-trello-fetch-skill-md,artymclabin-claudecode-global-config-skills-trello-fetch-skill-md,trello-fetch,ArtyMcLabin,2,1770126670,https://github.com/ArtyMcLabin/ClaudeCode-global-config/tree/master/skills/trello-fetch,https://skillsmp.com/skills/artymclabin-claudecode-global-config-skills-trello-fetch-skill-md,1,0,1,4804,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/artymclabin-claudecode-global-config-skills-trello-fetch-skill-md/content,True,SKILL.md,129,651,19,22,4,18,2,0,2,23,0,0,False,False,False,False,False,coding_dev;data_ml_ai;documentation_writing;workflow_automation;product_design,3,24,True
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-tokenization-sentencepiece-skill-md,davila7-claude-code-templates-cli-tool-components-skills-ai-research-tokenization-sentencepiece-skill-md,sentencepiece,davila7,20041,1767882269,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/tokenization-sentencepiece,https://skillsmp.com/skills/davila7-claude-code-templates-cli-tool-components-skills-ai-research-tokenization-sentencepiece-skill-md,3,1,2,16084,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-tokenization-sentencepiece-skill-md/content,True,SKILL.md,235,660,39,20,0,18,0,0,0,1,10,1,False,True,True,False,False,coding_dev;devops_infra;data_ml_ai;research_analysis;integration_tools,0,24,True
popular,letta-ai-letta-skills-llm-provider-usage-statistics-skill-md,letta-ai-letta-skills-llm-provider-usage-statistics-skill-md,llm-provider-usage-statistics,letta-ai,21037,1769719840,https://github.com/letta-ai/letta/tree/main/.skills/llm-provider-usage-statistics,https://skillsmp.com/skills/letta-ai-letta-skills-llm-provider-usage-statistics-skill-md,4,1,2,8999,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/letta-ai-letta-skills-llm-provider-usage-statistics-skill-md/content,True,SKILL.md,43,210,5,2,0,3,0,0,0,0,2,0,False,False,True,False,False,coding_dev;data_ml_ai;documentation_writing,0,24,True
popular,wshobson-agents-plugins-ui-design-skills-design-system-patterns-skill-md,wshobson-agents-plugins-ui-design-skills-design-system-patterns-skill-md,design-system-patterns,wshobson,28328,1768860423,https://github.com/wshobson/agents/tree/main/plugins/ui-design/skills/design-system-patterns,https://skillsmp.com/skills/wshobson-agents-plugins-ui-design-skills-design-system-patterns-skill-md,4,1,2,48597,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-ui-design-skills-design-system-patterns-skill-md/content,True,SKILL.md,337,1068,16,10,7,39,0,0,1,1,0,0,False,False,True,False,False,coding_dev;devops_infra;documentation_writing;product_design;integration_tools,0,24,True
random,alsk1992-cloddsbot-src-skills-bundled-credentials-skill-md,alsk1992-cloddsbot-src-skills-bundled-credentials-skill-md,credentials,alsk1992,43,1770736843,https://github.com/alsk1992/CloddsBot/tree/main/src/skills/bundled/credentials,https://skillsmp.com/skills/alsk1992-cloddsbot-src-skills-bundled-credentials-skill-md,2,0,1,11080,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/alsk1992-cloddsbot-src-skills-bundled-credentials-skill-md/content,True,SKILL.md,262,582,20,24,5,0,0,2,1,5,0,0,True,False,False,False,False,coding_dev;security;workflow_automation,2,23,True
popular,wshobson-agents-plugins-kubernetes-operations-skills-gitops-workflow-skill-md,wshobson-agents-plugins-kubernetes-operations-skills-gitops-workflow-skill-md,gitops-workflow,wshobson,28328,1768860423,https://github.com/wshobson/agents/tree/main/plugins/kubernetes-operations/skills/gitops-workflow,https://skillsmp.com/skills/wshobson-agents-plugins-kubernetes-operations-skills-gitops-workflow-skill-md,3,1,2,11669,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-kubernetes-operations-skills-gitops-workflow-skill-md/content,True,SKILL.md,289,685,32,30,14,15,2,0,1,0,0,0,False,False,True,False,False,devops_infra;security;workflow_automation;integration_tools,1,23,True
random,openclaw-skills-skills-startupbros-bitwarden-vault-skill-md,openclaw-skills-skills-startupbros-bitwarden-vault-skill-md,bitwarden,openclaw,834,1769481179,https://github.com/openclaw/skills/tree/main/skills/startupbros/bitwarden-vault,https://skillsmp.com/skills/openclaw-skills-skills-startupbros-bitwarden-vault-skill-md,4,1,2,12326,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-startupbros-bitwarden-vault-skill-md/content,True,SKILL.md,103,546,19,6,5,9,2,2,3,0,0,0,False,False,True,True,False,coding_dev;security;documentation_writing;workflow_automation;integration_tools,4,22,True
popular,openclaw-openclaw-skills-things-mac-skill-md,openclaw-openclaw-skills-things-mac-skill-md,things-mac,openclaw,182482,1769862085,https://github.com/openclaw/openclaw/tree/main/skills/things-mac,https://skillsmp.com/skills/openclaw-openclaw-skills-things-mac-skill-md,1,0,1,3555,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/openclaw-openclaw-skills-things-mac-skill-md/content,True,SKILL.md,86,482,1,0,0,37,1,2,3,0,0,0,False,False,False,False,False,workflow_automation;product_design;integration_tools,1,22,True
popular,affaan-m-everything-claude-code-skills-security-review-skill-md,affaan-m-everything-claude-code-skills-security-review-skill-md,security-review,affaan-m,43586,1769384724,https://github.com/affaan-m/everything-claude-code/tree/main/skills/security-review,https://skillsmp.com/skills/affaan-m-everything-claude-code-skills-security-review-skill-md,2,0,1,22403,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-security-review-skill-md/content,True,SKILL.md,495,1414,54,44,0,71,13,1,5,4,0,0,False,False,False,False,False,coding_dev;security;workflow_automation,27,21,True
popular,davila7-claude-code-templates-cli-tool-components-skills-development-cc-skill-security-review-skill-md,davila7-claude-code-templates-cli-tool-components-skills-development-cc-skill-security-review-skill-md,security-review,davila7,20041,1769353274,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/development/cc-skill-security-review,https://skillsmp.com/skills/davila7-claude-code-templates-cli-tool-components-skills-development-cc-skill-security-review-skill-md,1,0,1,12233,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-development-cc-skill-security-review-skill-md/content,True,SKILL.md,496,1418,54,44,0,71,13,1,5,4,1,0,False,True,False,False,False,coding_dev;security;workflow_automation,27,21,True
popular,wshobson-agents-plugins-kubernetes-operations-skills-k8s-manifest-generator-skill-md,wshobson-agents-plugins-kubernetes-operations-skills-k8s-manifest-generator-skill-md,k8s-manifest-generator,wshobson,28328,1768860423,https://github.com/wshobson/agents/tree/main/plugins/kubernetes-operations/skills/k8s-manifest-generator,https://skillsmp.com/skills/wshobson-agents-plugins-kubernetes-operations-skills-k8s-manifest-generator-skill-md,6,2,2,59431,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-kubernetes-operations-skills-k8s-manifest-generator-skill-md/content,True,SKILL.md,534,1434,33,28,15,106,7,5,4,0,2,0,False,True,True,True,False,coding_dev;devops_infra;security;workflow_automation,7,21,True
random,get2knowio-maverick-src-maverick-skills-maverick-python-security-skill-md,get2knowio-maverick-src-maverick-skills-maverick-python-security-skill-md,maverick-python-security,get2knowio,0,1767196864,https://github.com/get2knowio/maverick/tree/main/src/maverick/skills/maverick_python_security,https://skillsmp.com/skills/get2knowio-maverick-src-maverick-skills-maverick-python-security-skill-md,2,0,1,10804,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/get2knowio-maverick-src-maverick-skills-maverick-python-security-skill-md/content,True,SKILL.md,440,1257,63,46,0,70,2,0,6,5,1,0,True,False,False,False,False,coding_dev;security,19,20,True
random,rafaelkamimura-claude-tools-skills-multi-system-sso-authentication-skill-md,rafaelkamimura-claude-tools-skills-multi-system-sso-authentication-skill-md,multi-system-sso-authentication,rafaelkamimura,5,1767717090,https://github.com/rafaelkamimura/claude-tools/tree/main/skills/multi-system-sso-authentication,https://skillsmp.com/skills/rafaelkamimura-claude-tools-skills-multi-system-sso-authentication-skill-md,1,0,1,35276,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/rafaelkamimura-claude-tools-skills-multi-system-sso-authentication-skill-md/content,True,SKILL.md,1081,3261,98,30,18,64,3,3,2,14,2,0,False,False,False,False,False,coding_dev;devops_infra;security;integration_tools,3,20,True
random,openclaw-skills-skills-rhlsthrm-lifi-orchestrator-skill-md,openclaw-skills-skills-rhlsthrm-lifi-orchestrator-skill-md,lifi-orchestrator,openclaw,834,1769866367,https://github.com/openclaw/skills/tree/main/skills/rhlsthrm/lifi-orchestrator,https://skillsmp.com/skills/openclaw-skills-skills-rhlsthrm-lifi-orchestrator-skill-md,5,1,2,21845,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/openclaw-skills-skills-rhlsthrm-lifi-orchestrator-skill-md/content,True,SKILL.md,93,403,16,10,4,13,0,0,1,0,3,0,True,False,False,True,False,coding_dev;workflow_automation,1,20,True
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-mechanistic-interpretability-transformer-lens-skill-md,davila7-claude-code-templates-cli-tool-components-skills-ai-research-mechanistic-interpretability-transformer-lens-skill-md,transformer-lens-interpretability,davila7,20041,1767882269,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/mechanistic-interpretability-transformer-lens,https://skillsmp.com/skills/davila7-claude-code-templates-cli-tool-components-skills-ai-research-mechanistic-interpretability-transformer-lens-skill-md,4,1,2,32170,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-mechanistic-interpretability-transformer-lens-skill-md/content,True,SKILL.md,346,1440,60,24,0,32,7,0,0,1,6,1,False,True,True,False,False,coding_dev;data_ml_ai;research_analysis;workflow_automation;integration_tools,0,20,True
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-optimization-awq-skill-md,davila7-claude-code-templates-cli-tool-components-skills-ai-research-optimization-awq-skill-md,awq-quantization,davila7,20041,1767882269,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/optimization-awq,https://skillsmp.com/skills/davila7-claude-code-templates-cli-tool-components-skills-ai-research-optimization-awq-skill-md,3,1,2,24099,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-optimization-awq-skill-md/content,True,SKILL.md,310,1019,40,30,0,21,1,1,0,0,26,1,False,True,True,False,False,data_ml_ai;research_analysis;integration_tools,0,20,True
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-prompt-engineering-guidance-skill-md,davila7-claude-code-templates-cli-tool-components-skills-ai-research-prompt-engineering-guidance-skill-md,guidance,davila7,20041,1767882269,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/prompt-engineering-guidance,https://skillsmp.com/skills/davila7-claude-code-templates-cli-tool-components-skills-ai-research-prompt-engineering-guidance-skill-md,4,1,2,62490,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-prompt-engineering-guidance-skill-md/content,True,SKILL.md,572,1863,86,52,0,43,10,3,0,8,1,1,False,True,True,False,False,coding_dev;data_ml_ai;research_analysis;workflow_automation;integration_tools,0,20,True
popular,affaan-m-everything-claude-code-skills-django-security-skill-md,affaan-m-everything-claude-code-skills-django-security-skill-md,django-security,affaan-m,43586,1769947502,https://github.com/affaan-m/everything-claude-code/tree/main/skills/django-security,https://skillsmp.com/skills/affaan-m-everything-claude-code-skills-django-security-skill-md,1,0,1,15805,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-django-security-skill-md/content,True,SKILL.md,593,1617,82,42,0,5,2,6,9,6,0,0,False,False,False,False,False,coding_dev;devops_infra;data_ml_ai;security;product_design,13,19,True
random,zebbern-secops-cli-guides-skills-cloud-penetration-testing-skill-md,zebbern-secops-cli-guides-skills-cloud-penetration-testing-skill-md,cloud-penetration-testing,zebbern,14,1767384764,https://github.com/zebbern/SecOps-CLI-Guides/tree/main/skills/cloud-penetration-testing,https://skillsmp.com/skills/zebbern-secops-cli-guides-skills-cloud-penetration-testing-skill-md,1,0,1,14650,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/zebbern-secops-cli-guides-skills-cloud-penetration-testing-skill-md/content,True,SKILL.md,533,1882,114,30,24,19,1,4,3,10,10,0,False,False,False,False,False,coding_dev;devops_infra;security;documentation_writing;workflow_automation,10,19,True
popular,openclaw-openclaw-extensions-feishu-skills-feishu-wiki-skill-md,openclaw-openclaw-extensions-feishu-skills-feishu-wiki-skill-md,feishu-wiki,openclaw,182482,1770337930,https://github.com/openclaw/openclaw/tree/main/extensions/feishu/skills/feishu-wiki,https://skillsmp.com/skills/openclaw-openclaw-extensions-feishu-skills-feishu-wiki-skill-md,1,0,1,2199,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/openclaw-openclaw-extensions-feishu-skills-feishu-wiki-skill-md/content,True,SKILL.md,111,239,12,20,3,0,1,0,0,0,0,0,False,False,False,False,False,documentation_writing;workflow_automation,0,19,True
popular,openclaw-openclaw-skills-bear-notes-skill-md,openclaw-openclaw-skills-bear-notes-skill-md,bear-notes,openclaw,182482,1769862085,https://github.com/openclaw/openclaw/tree/main/skills/bear-notes,https://skillsmp.com/skills/openclaw-openclaw-skills-bear-notes-skill-md,1,0,1,2662,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/openclaw-openclaw-skills-bear-notes-skill-md/content,True,SKILL.md,107,348,6,12,6,11,0,1,0,0,1,0,False,False,False,False,False,coding_dev;integration_tools,0,19,True
